name,review-count,cuisines,cost for 2,timings,rating
Lumbini Fast Point,15 reviews,"Chinese, Fast Food",₹600,"11:30 AM to 3:30 PM, 7 PM to 10:30 PM",2.8
Gulati's Chicken Point,10 reviews,North Indian,₹400,"12 Noon to 5 PM, 8 PM to 2 AM",2.7
Handi Chhadeyan Di,11 reviews,North Indian,₹400,"12 Noon to 4 PM, 6 PM to 11:30 PM (Mon, Wed-Sun), Tue Closed",2.6
Aapni Dhani,6 reviews,"North Indian, Street Food",₹200,"11 AM to 11 PM (Mon, Wed-Sun), Tue Closed",3.0
Bawarchi Khana,13 reviews,"North Indian, Mughlai",₹700,12 Noon to 10:30 PM,3.2
The Chickmunks Café,6 reviews,"Fast Food, Italian",₹900,6 PM to 10:30 PM,2.7
Rezia Corner,14 reviews,"North Indian, Bengali",₹500,12 Noon to 11 PM,2.9
Oh My Scoop!,14 reviews,Ice Cream,₹500,7 AM to 11 PM,3.3
Maska Masala,14 reviews,North Indian,₹400,8 AM to 9 PM,3.1
True Blue,14 reviews,"Chinese, North Indian",₹500,"12 Noon to 4 PM, 7 PM to 11 PM",3.3
The Cake Masters,9 reviews,"Bakery, Desserts",₹300,10 AM to 11 PM,3.4
Baked Buns,8 reviews,Fast Food,₹600,10 AM to 9 PM,2.5
Lumbini Food Point,10 reviews,Fast Food,₹500,8 AM to 10 PM,2.7
URBN Pizzeria,11 reviews,"Italian, Pizza",₹250,12 Noon to 11 PM,3.1
Delhi Dhaba,6 reviews,North Indian,₹700,10 AM to 11 PM,-
24X7 Kitchen,3 reviews,"North Indian, Chinese","₹2,000",10 AM to 11 PM,3.2
Punjab Curry Corner,19 reviews,"North Indian, Mughlai","₹1,000","10 AM to 3:30 PM, 6:30 PM to 10 PM",-
11 Chaa Street,4 reviews,Cafe,₹200,10:30 AM to 10:30 PM,2.8
Mansi Pizza,11 reviews,"Pizza, Fast Food","₹1,000",11 AM to 10 PM,3.3
Citrus Cafe - Lemon Tree Hotel,13 reviews,Cafe,₹900,"11 AM to 4 PM, 6:30 PM to 11 PM",3.5
Delly Belly,8 reviews,"North Indian, Chinese, Mughlai",₹700,5 PM to 11 PM,2.8
New Philco Bakery,11 reviews,"Bakery, Fast Food",₹350,9 AM to 9:30 PM,3.1
Hang Out,11 reviews,Fast Food,₹250,11 AM to 11 PM,2.8
French Crust - The Suryaa New Delhi,6 reviews,"Cafe, Desserts",₹400,11 AM to 10:30 PM,3.1
Wheelyz,3 reviews,"North Indian, Chinese, Fast Food",₹900,11 AM to 11 PM,2.9
Jolly Tandoor Zaika,7 reviews,"North Indian, Chinese, Fast Food",₹250,2 PM to 10:30 PM,2.8
Biryani Corner,13 reviews,"North Indian, Biryani",₹300,12 Noon to 12:45 AM,2.6
Hari Om Bhojnalaya,13 reviews,North Indian,₹650,11 AM to 11:30 PM,2.8
Nazeer Delicacies,4 reviews,"North Indian, Mughlai",₹200,12 Noon to 11 PM,3.3
Tit Bit,4 reviews,"Fast Food, Chinese",₹600,12 Noon to 1 AM,3.1
Shawarma King's,7 reviews,Fast Food,₹500,10 AM to 10 PM,2.9
One More Plate,17 reviews,"North Indian, Mughlai, Chinese",₹400,10 AM to 11 PM,3.1
JD's The Meat Shop,8 reviews,"Raw Meats, Fast Food",₹300,1 PM to 10 PM,3.1
Zaika,9 reviews,"North Indian, Mughlai, Chinese",₹600,11 AM to 11 PM,3.4
Cafeteria Point,13 reviews,Cafe,₹250,"7:30 AM to 9:30 PM (Mon-Fri),8:30 AM to 9:30 PM (Sat),Closed (Sun)",3.2
Kaka's - The Chicken Shop,7 reviews,"Raw Meats, Fast Food",₹400,8 AM to 10 PM,3.2
Hema Chinese Foods,11 reviews,Chinese,₹750,10:30 AM to 10:30 PM,3.3
Mohan's Fast Food,10 reviews,"Chinese, Thai, South Indian, Italian",₹350,2 PM to 12 Midnight,3.1
Shree Durga Dosa,9 reviews,South Indian,"₹1,200",11 AM to 10:30 PM,3.4
Chinese Adda,4 reviews,Chinese,₹400,11 AM to 11 PM,3.2
Sargam Restaurant,7 reviews,"North Indian, Chinese",₹200,11 AM to 9:30 PM,3.1
Green Chilly,13 reviews,"North Indian, Chinese",₹500,10 AM to 10 PM,3.4
Mini Mahal Delux,14 reviews,"North Indian, Chinese",₹200,10 AM to 9:30 PM,3.3
Green Restaurant,9 reviews,North Indian,₹350,"11 AM to 4 PM, 7 PM to 10 PM",2.9
Blue Ribbon,13 reviews,"Bakery, Fast Food",₹800,2 PM to 12 Midnight,3.3
The Mashal,8 reviews,"Mughlai, North Indian",₹400,"11 AM to 4 PM, 7 PM to 10 PM",2.8
The Bread Ways Bakery,9 reviews,"Bakery, Fast Food, Chinese",₹700,2 PM to 12 Midnight,2.8
Ramji Di Hatti,11 reviews,North Indian,₹900,2 PM to 11 PM,2.8
Off The Hook Cafe and Lounge,3 reviews,"Continental, Chinese, Fast Food, Beverages",₹200,"12:30 PM to 3 PM, 6:30 PM to 11 PM (Mon, Wed-Sun), Tue Closed",2.8
Pizzalicious,13 reviews,"Pizza, Fast Food",₹500,8 AM to 8 PM,2.7
Panache,14 reviews,"North Indian, Chinese",₹500,11:30 AM to 10:30 PM,3.2
Tulsi,16 reviews,"North Indian, Chinese",₹550,9 AM to 9 PM,3.4
Chotey Lal Halwai,9 reviews,"Desserts, Street Food",₹450,10:30 AM to 10 PM,3.1
Kumar's Annapurna,8 reviews,"North Indian, Chinese, Fast Food",₹650,11 AM to 11 PM,3.2
Healthy Foods,7 reviews,"North Indian, Chinese",₹600,10 AM to 7 PM,3.1
Mudrika Foods,7 reviews,"North Indian, Mughlai, Chinese",₹200,1 PM to 11 PM (Mon-Sun),3.1
Bittoo Dhaba,8 reviews,North Indian,₹350,"1 PM to 3:30 PM, 6 PM to 11 PM",3.3
A Tabahi Kadahi,8 reviews,"North Indian, Chinese",₹500,11 AM to 11 PM,3.0
Pakwan,9 reviews,"Chinese, North Indian",₹250,11 AM to 11 PM,3.2
King's Chinese Point,10 reviews,Chinese,₹150,8 AM to 11 PM,3.2
Punjabi Grill,11 reviews,North Indian,₹250,12 Noon to 11:30 PM,3.3
Hum Tum,13 reviews,"North Indian, Chinese",₹500,9:30 AM to 9:30 PM,3.2
Al Yousuf,14 reviews,Mughlai,₹250,9 AM to 6 PM,3.1
Chaudhary Di Hatti,14 reviews,"Desserts, Street Food",₹300,11 AM to 12 Midnight,3.1
Pandit Ji Ka Dhaba,15 reviews,North Indian,"₹1,500",9 AM to 9:30 PM,3.5
X Hale Hookah Lounge,11 reviews,"Cafe, Fast Food, Chinese",₹250,12 Noon to 11 PM,3.1
