name,review-count,cuisines,cost for 2,timings,rating
The Pasta Bar Veneto,407 reviews,"Italian, Continental",₹900,11 AM to 11 PM,3.6
Kobe Sizzlers,282 reviews,"Continental, Italian, Steakhouse, Chinese","₹1,100",11 AM to 11 PM,3.7
Jalpaan,280 reviews,"North Indian, Italian",₹900,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.8
Jonah's Goes to Japan,269 reviews,"Italian, Japanese","₹1,100",11 AM to 11 PM,4.0
Hotel Saravana Bhavan,164 reviews,"South Indian, North Indian, Mithai",₹450,6 AM to 11:30 PM,2.7
Buzz - The Gateway Hotel,115 reviews,"North Indian, South Indian, European, Continental","₹1,700",24 Hours,3.9
Tryst Cafe,195 reviews,"Fast Food, Continental, Cafe",₹900,09:30 AM to 10 PM,3.9
Momo Restaurant,305 reviews,"Chinese, Thai, Malaysian",₹900,"12 Noon to 3 PM, 7 PM to 11 PM (Mon-Fri), 12 Noon to 3:30 PM, 7 PM to 11 PM (Sat-Sun)",3.9
Cheesy Juicy Burgers,180 reviews,Fast Food,₹500,11:30 AM to 11 PM,4.2
Eatalica,228 reviews,Italian,₹700,Mon-Sun (12 Noon to 11 PM),4.0
Hamsa,50 reviews,"North Indian, South Indian","₹1,800","12 Noon to 3 PM, 7 PM to 11 PM",4.1
Copper Chimney,204 reviews,"North Indian, Mughlai","₹1,200","12 Noon to 3 PM, 7 PM to 11:30 PM",4.1
Crimson Chakra KNK,125 reviews,"North Indian, Continental, Chinese","₹1,000","12 Noon to 3 PM, 7 PM to 11 PM",3.6
Peaches',322 reviews,"North Indian, Mexican, Mediterranean, Italian",₹850,"11 AM to 3 PM, 7 PM to 10:30 PM",3.7
Coco Jaunt 1728,229 reviews,"Bakery, Cafe, Italian",₹550,10 AM to 11 PM,4.0
North East Kitchen,156 reviews,"Chinese, Korean",₹450,12 Noon to 11 PM,4.0
Shree Mithai,229 reviews,"Mithai, Desserts, Street Food",₹500,10 AM to 11 PM,4.0
Kitchen 187 Creperie & Cafe,97 reviews,"French, Cafe, European","₹1,000",10 AM to 10 PM,3.7
US 101 - Be A Sport,205 reviews,Continental,"₹1,500",12 Noon to 11:30 PM,3.7
Chili's,366 reviews,"Mexican, American, Tex-Mex, Burger","₹1,700",12 Noon to 11 PM,4.3
Sigree,272 reviews,North Indian,"₹1,500","12:15 PM to 3 PM, 7:15 PM to 11 PM",3.6
Fully Local,182 reviews,"Street Food, North Indian",₹800,"12 Noon to 11 PM (Mon-Sat), 9:30 AM to 11 PM (Sun)",3.9
Kolapasi Takeaway,179 reviews,"North Indian, South Indian",₹400,"11:45 AM to 3 PM, 7 PM to 11 PM",4.1
Dhabba Express,207 reviews,"North Indian, Chinese",₹700,"12 Noon to 3 PM, 6:30 PM to 11 PM",2.7
Sankranti,75 reviews,"Andhra, North Indian, Chinese",₹700,"12 Noon to 3:45 PM, 7 PM to 10:40 PM",3.9
Amethyst Cafe,499 reviews,"Cafe, Italian, Continental","₹1,400",10 AM to 11:30 PM,4.2
Eatza Pizza,235 reviews,"Pizza, Fast Food",₹600,11 AM to 11 PM,3.5
Jalpaan,325 reviews,"North Indian, Italian","₹1,200","12 Noon to 3 PM, 7 PM to 10:30 PM",3.5
Sahi Cafe,57 reviews,"Chinese, Continental",₹350,12:15 PM to 11 PM (Mon-Sun),3.8
Bhatinda Xpress,214 reviews,"North Indian, Chinese, Mughlai","₹1,000","11 a.m. to 3:30 PM, 6:30 PM to 11:30 PM",3.6
Noodle Bar,191 reviews,"Italian, Chinese, Thai","₹1,200","12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.8
The Fruit Shop On Greams Road,166 reviews,"Beverages, Juices, Desserts",₹250,9 AM to 12 Midnight (Mon-Sun),4.2
Petuk,243 reviews,,₹250,"12 Noon to 3 PM, 7 PM to 10 PM (Mon, Tue, Wed, Fri, Sat, Sun), Closed (Thu)",4.2
The Cascade,155 reviews,"Seafood, Chinese, Asian, Thai","₹1,000","12:30 PM to 2:45 PM, 7:30 PM to 10:45 PM",4.0
Kaidi Kitchen,795 reviews,"Italian, Mexican, Chinese, Thai, North Indian","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM",4.0
Double Roti,74 reviews,"Cafe, American, Fast Food, Burger","₹1,000",12:30 PM to 11 PM,4.0
Gold Dragon,91 reviews,"Chinese, Thai, Malaysian",₹900,"11 AM to 3:30 PM, 6:30 PM to 11 PM",3.7
Moti Mahal Delux,228 reviews,"North Indian, Mughlai, Chinese",₹800,12 Noon to 11 PM,3.4
Bindaas Rasoi,111 reviews,North Indian,₹950,"12 Noon to 3 PM, 7 PM to 10:30 PM (Mon-Thu),12 Noon to 3 PM, 7 PM to 10:45 PM (Fri-Sun)",4.3
Prive Restaurant,72 reviews,"North Indian, South Indian, Street Food, Mexican, Continental","₹1,200",11 AM to 11 PM (Mon-Sun),4.1
The Farm,245 reviews,"Steakhouse, Pizza, North Indian","₹1,500",7:30 AM to 6 PM,4.3
Salt,458 reviews,"North Indian, South Indian","₹1,200",12 Noon to 11 PM,4.1
Basera,168 reviews,"North Indian, Chinese",₹850,"12 Noon to 3 PM, 7 PM to 10:55 PM (Mon-Fri), 12 Noon to 10:55 PM (Sat-Sun)",3.4
Cream Stone,96 reviews,Ice Cream,₹350,11 AM to 12 Midnight,4.2
Mainland China,122 reviews,"Chinese, Thai","₹1,800","12 Noon to 3:15 PM, 7 PM to 11:15 PM",3.8
Grill Ministri,249 reviews,North Indian,"₹1,000","12 Noon to 3:30 PM, 7 PM to 11 PM",3.4
The Port Cafe,90 reviews,"Cafe, Continental",₹700,11 AM to 11 PM,4.0
Delhi Highway,196 reviews,North Indian,₹750,"11:30 AM to 3:30 PM, 6:30 PM to 11 PM",3.8
Hot Pot China,235 reviews,Chinese,₹950,"12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.8
The Flying Elephant - Park Hyatt,291 reviews,"Continental, Italian, North Indian, Thai","₹3,500","4 PM to 1 AM (Mon-Sat), 12 Noon to 1 AM (Sun)",4.4
Dakshina Puram,59 reviews,"Andhra, Kerala, South Indian",₹500,11 AM to 11 PM (Mon-Sun),3.6
Nellai Xpress,117 reviews,South Indian,"₹1,100","12 Noon to 3:30 PM, 7 PM to 11 PM",3.6
Chap Chay - The Raintree,117 reviews,"Chinese, Malaysian, Thai","₹2,000","12 Noon to 3 PM, 7 PM to 11:30 PM",4.3
Mainland China,181 reviews,Chinese,"₹1,700","12 Noon to 3:30 PM, 7 PM to 11:30 PM",4.0
Sandy's Chocolate Laboratory,194 reviews,"Desserts, Continental, Italian, Cafe","₹1,400",8 AM to 11 PM,4.2
Barbeque Nation,389 reviews,"North Indian, Continental","₹2,000","12 Noon to 3 PM, 6:30 PM to 10:30 PM",4.2
Vasco's - Hilton,145 reviews,"Healthy Food, Continental, Italian, Pizza, North Indian, European, Sushi, Asian","₹3,400","6 AM to 10:30 AM, 12:30 PM to 3 PM, 6:30 PM to 11:30 PM (Mon-Fri), 6 AM to 11 AM, 12 Noon to 3:30 PM, 6:30 PM to 11:30 PM (Sat-Sun)",4.3
The Pasta Land,233 reviews,"Italian, Pizza, Fast Food",₹750,11 AM to 11 PM,4.0
Burger King,230 reviews,"American, Fast Food, Burger",₹500,"11 AM to 11 PM (Mon-Fri), 10 AM to 11 PM (Sat-Sun)",3.7
The Padrino,148 reviews,Italian,"₹1,000",11 AM to 11 PM,4.0
Absolute Thai,139 reviews,Thai,"₹1,000","12 Noon to 3:30 PM, 7 PM to 11 PM",4.3
Batlivala & Khanabhoy,145 reviews,Parsi,"₹1,200",12 Noon to 11 PM,4.7
Jonah's Meets Chef Willi,168 reviews,"Seafood, Italian","₹1,400",12 Noon to 11 PM,3.8
Pupil,169 reviews,"Fast Food, Chinese, North Indian, Street Food",₹700,11 AM to 11 PM,3.7
The Fruit Shop On Greams Road,166 reviews,"Beverages, Juices, Desserts",₹250,9 AM to 12 Midnight (Mon-Sun),4.2
Ente Keralam,155 reviews,Kerala,₹750,"12 Noon to 3 PM, 7 PM to 10:30 PM",4.0
Ox & Tomato,163 reviews,"Italian, Continental",₹850,11 AM to 11 PM,3.9
Vrindavan,160 reviews,"North Indian, South Indian, Chinese",₹500,"9 AM to 11 AM, 11:30 AM to 3:30 PM, 6:30 PM to 10:15 PM",3.9
Moti Mahal Delux,220 reviews,"North Indian, Mughlai","₹1,200","12:30 PM to 3:15 PM, 7:30 PM to 11 PM",3.7
Rasavid,195 reviews,"North Indian, Chinese, Biryani",₹800,"11:30 AM to 3:30 PM, 6:30 PM to 5 AM",3.5
Plan B,385 reviews,"American, Continental","₹1,500",12 Noon to 11 PM,3.9
Cream Centre,171 reviews,"North Indian, Italian, Mexican","₹1,600","11 AM to 3 PM, 6 PM to 11 PM (Mon-Thu), 11 AM to 11 PM (Fri-Sun)",4.2
Coco Jaunt 1728,123 reviews,"Bakery, Cafe, Italian",₹550,10 AM to 11 PM,3.9
Aasife Biriyani,176 reviews,"North Indian, Chinese, Biryani",₹800,11 AM to 11 PM,2.3
Tea Trails,49 reviews,"Cafe, Desserts",₹550,10 AM to 10 PM,4.0
Kobe Sizzlers,202 reviews,"Continental, Italian, Steakhouse, Chinese","₹1,100",11 AM to 11:30 PM,3.7
