name,review-count,cuisines,cost for 2,timings,rating
The Tao Terraces,459 reviews,"Thai, Japanese, Korean, Burmese, Chinese","₹2,100","12 Noon to 11 PM (Mon-Thu), 12 Noon to 1 AM (Fri-Sun)",3.7
Truffles,874 reviews,"American, Desserts, Cafe",₹800,11 AM to 11 PM,4.4
Church Street Social,2604 reviews,"Continental, American","₹1,500",9 AM to 1 AM,4.3
Chili's,684 reviews,"American, Tex-Mex, Burger","₹1,700",11 AM to 11 PM,3.8
Leon Grill,342 reviews,"North Indian, Arabian, Fast Food",₹600,12:30 PM to 10:30 PM,4.3
Little Italy,915 reviews,"Italian, Salad, Healthy Food","₹1,400","12 Noon to 3:30 PM, 6:30 PM to 11 PM",4.0
Ebony,773 reviews,"South Indian, Asian, Thai, North Indian","₹1,500","12:30 PM to 3 PM, 7 PM to 11 PM (Mon-Thu, Sun), 12:30 PM to 3 PM, 7 PM to 12 Midnight (Fri-Sat)",4.1
Chili's,767 reviews,"American, Tex-Mex, Burger","₹1,700","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3.8
Flechazo,75 reviews,"Asian, Mediterranean, North Indian","₹1,500","12 Noon to 4 PM, 6:30 PM to 11:30 PM",4.2
The Black Pearl,2465 reviews,"North Indian, European, Mediterranean","₹1,400","12 Noon to 4 PM, 7 PM to 11:30 PM (Mon-Thu, Sun), 12 Noon to 3:30 PM, 7 PM to 1 AM (Fri-Sat)",3.9
Sotally Tober,719 reviews,"Asian, European, American, North Indian","₹1,200","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3.8
Art of Delight,528 reviews,"Ice Cream, Desserts",₹350,"12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 12:30 AM (Fri-Sat)",4.6
The Punjabi Rasoi,678 reviews,North Indian,₹800,"12:30 PM to 3:30 PM, 7 PM to 11 PM",3.6
AB's - Absolute Barbecues,2791 reviews,"European, Mediterranean, North Indian","₹1,400","12 Noon to 3 PM, 6:30 PM to 11 PM",4.6
Glocal Junction,196 reviews,"North Indian, Continental, European","₹1,200",12 Noon to 1 AM,4.1
Mother Cluckers Bar,631 reviews,American,"₹1,500","12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.1
Golkonda Chimney,695 reviews,"North Indian, Chinese",₹750,11 AM to 11 PM,3.3
Here & Now,197 reviews,"Cafe, American",₹700,"9 AM to 8 PM (Mon, Wed-Sun), Tue Closed",4.4
